Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1078,United States of America,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,4558576997.83,8.37
1467,World Bank,,,,2019-2022 COVID-19 Pandemic,4419207330.9,8.12
1200,European Union,euro,,,2019-2022 COVID-19 Pandemic,3151398508.6624885,5.79
869,Germany,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,3060044735.2169333,5.62
1102,African Development Bank,,,,2019-2022 COVID-19 Pandemic,2797185568.975789,5.14
1075,United Kingdom,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1674309547.7200682,3.08
1244,Inter-American Development Bank,,,,2019-2022 COVID-19 Pandemic,1217996775,2.24
1428,United Nations (UN),,,,2019-2022 COVID-19 Pandemic,1151467731.351695,2.11
1059,Sweden,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,1110306833.7753851,2.04
1129,Bill & Melinda Gates Foundation,,,,2019-2022 COVID-19 Pandemic,1002185382.1249999,1.84
908,Canada,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,665935364.4772966,1.22
945,France,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,641628260.1158719,1.18
1472,World Health Organization (WHO),,,,2019-2022 COVID-19 Pandemic,622935283,1.14
1249,International Red Cross and Red Crescent Movement,,,,2019-2022 COVID-19 Pandemic,449499169.2644458,0.83
1017,Norway,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,440742594,0.81
868,Netherlands,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,409229341.62360024,0.75
1764,Christian Aid,,,,2019-2022 COVID-19 Pandemic,372077529.39860255,0.68
1322,Not reported,,,,2019-2022 COVID-19 Pandemic,266348636,0.49
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2019-2022 COVID-19 Pandemic,263991224.1017714,0.48
1756,OCHA Country Based Pooled Funds,,,,2019-2022 COVID-19 Pandemic,227630100.58000007,0.42
927,Denmark,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,224426583.4216712,0.41
