Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1696,Germany - Federal Foreign Office,,,,2018-2020 Ebola in DRC,19028144.885203782,0.13
1129,Bill & Melinda Gates Foundation,,,,2018-2020 Ebola in DRC,14758119,0.10
1197,European Commission Humanitarian Aid (ECHO),,,,2018-2020 Ebola in DRC,14629906.212000001,0.10
908,Canada,amro,Americas,Northern America,2018-2020 Ebola in DRC,10078260.080868088,0.07
1767,UN Pooled Funds,,,,2018-2020 Ebola in DRC,9608480,0.07
1333,Oxfam International,,,,2018-2020 Ebola in DRC,9498017.420582762,0.07
1765,Oxfam GB,,,,2018-2020 Ebola in DRC,9411445.084340785,0.06
1460,Wellcome Trust,,,,2018-2020 Ebola in DRC,8260200,0.06
1756,OCHA Country Based Pooled Funds,,,,2018-2020 Ebola in DRC,6833029.44,0.05
1429,United Nations Central Emergency Response Fund (UN CERF),,,,2018-2020 Ebola in DRC,6403845,0.04
1017,Norway,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,5306291.048,0.04
927,Denmark,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4430858.788601872,0.03
1059,Sweden,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4200000,0.03
913,China,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,4000000,0.03
969,Ireland,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,3725771.8422838473,0.03
1102,African Development Bank,,,,2018-2020 Ebola in DRC,2709232.8823184827,0.02
1501,"Denmark - Ministry of Foreign Affairs, Danida",,,,2018-2020 Ebola in DRC,2230858.788601872,0.02
1758,Netherlands Red Cross,,,,2018-2020 Ebola in DRC,1552136.9094111808,0.01
1060,Switzerland,euro,Europe,Western Europe,2018-2020 Ebola in DRC,1361619.7832664978,0.01
973,Japan,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1300000,0.01
1030,Republic of Korea,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1000000,0.01
1970,Interpeace,,,,2018-2020 Ebola in DRC,889141.9400000001,0.01
1342,Paul Allen Foundation,,,,2018-2020 Ebola in DRC,721726,0.00
971,Italy,euro,Europe,Southern Europe,2018-2020 Ebola in DRC,695745.4424,0.00
1431,United Nations Development Programme (UNDP),,,,2018-2020 Ebola in DRC,586268,0.00
989,Luxembourg,euro,Europe,Western Europe,2018-2020 Ebola in DRC,550000,0.00
1138,British Red Cross,,,,2018-2020 Ebola in DRC,520725.22469285387,0.00
1901,International Alert,,,,2018-2020 Ebola in DRC,513487.03050078935,0.00
1419,U.S. Centers for Disease Control and Prevention (CDC),,,,2018-2020 Ebola in DRC,500000,0.00
1422,UN Ebola Response Multi-Partner Trust Fund (MPTF),,,,2018-2020 Ebola in DRC,428000,0.00
1764,Christian Aid,,,,2018-2020 Ebola in DRC,405032.0868697001,0.00
