Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
1691,World Bank Trust Funds,,,,2014-2022 Poliovirus,128815998.39
908,Canada,amro,Americas,Northern America,2014-2022 Poliovirus,100065305.85215665
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,87960576.00401537
1200,European Union,euro,,,2014-2022 Poliovirus,19856217.689067535
1896,European Commission - International Partnerships,,,,2014-2022 Poliovirus,17349563.794145316
973,Japan,wpro,Asia,Eastern Asia,2014-2022 Poliovirus,4706737.617795646
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,3481285.0474614697
1759,United Nations Central Emergency Response Fund (CERF),,,,2014-2022 Poliovirus,2000000
9995,United Nations Human Settlement Programme,,,,2014-2022 Poliovirus,1453591.0000000002
971,Italy,euro,Europe,Southern Europe,2014-2022 Poliovirus,1138434.2688030018
1270,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,,,,2014-2022 Poliovirus,1138434.2688030018
1696,Germany - Federal Foreign Office,,,,2014-2022 Poliovirus,569217.1344015009
1055,Spain,euro,Europe,Southern Europe,2014-2022 Poliovirus,367561.3618459293
1554,Spanish Agency for International Development Cooperation (AECID),,,,2014-2022 Poliovirus,342900.6112976505
1475,World Vision International,,,,2014-2022 Poliovirus,237432.4
1604,World Vision UK,,,,2014-2022 Poliovirus,237432.4
1756,OCHA Country Based Pooled Funds,,,,2014-2022 Poliovirus,137898.86
1383,Sightsavers,,,,2014-2022 Poliovirus,52737.04585612643
1286,Malaria Consortium,,,,2014-2022 Poliovirus,40975.03294031047
1757,GlobalGiving.org,,,,2014-2022 Poliovirus,36925
969,Ireland,euro,Europe,Northern Europe,2014-2022 Poliovirus,4760.967509724886
1255,International Federation of Red Cross and Red Crescent Societies,,,,2014-2022 Poliovirus,1322.7195077336291
1249,International Red Cross and Red Crescent Movement,,,,2014-2022 Poliovirus,1322.7195077336291
944,Finland,euro,Europe,Northern Europe,2014-2022 Poliovirus,1054.1438169288028
1078,United States of America,amro,Americas,Northern America,2015-2016 Zika Virus,11454252.3092295
1443,United States Agency for International Development (USAID),,,,2015-2016 Zika Virus,10293452.3092295
1129,Bill & Melinda Gates Foundation,,,,2015-2016 Zika Virus,9797890
883,Australia,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,8081083.609815737
1075,United Kingdom,euro,Europe,Northern Europe,2015-2016 Zika Virus,7613417.789454008
1472,World Health Organization (WHO),,,,2015-2016 Zika Virus,5615000
1249,International Red Cross and Red Crescent Movement,,,,2015-2016 Zika Virus,5098310.623321947
1255,International Federation of Red Cross and Red Crescent Societies,,,,2015-2016 Zika Virus,2932356.0410182467
1345,Pfizer Foundation,,,,2015-2016 Zika Virus,2100000
1344,Pfizer,,,,2015-2016 Zika Virus,2100000
1342,Paul Allen Foundation,,,,2015-2016 Zika Virus,2050000
1873,American Red Cross,,,,2015-2016 Zika Virus,1379537.374677
1419,U.S. Centers for Disease Control and Prevention (CDC),,,,2015-2016 Zika Virus,1160000
908,Canada,amro,Americas,Northern America,2015-2016 Zika Virus,1042587.0005505
1179,Department for International Development UK (DFID),,,,2015-2016 Zika Virus,1000000
1884,Public Health Agency of Canada,,,,2015-2016 Zika Virus,700675
1758,Netherlands Red Cross,,,,2015-2016 Zika Virus,540069.7242777008
1882,Norway Ministry of Foreign Affairs,,,,2015-2016 Zika Virus,517000
1017,Norway,euro,Europe,Northern Europe,2015-2016 Zika Virus,517000
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,289490.3119669371
1244,Inter-American Development Bank,,,,2015-2016 Zika Virus,211500
973,Japan,wpro,Asia,Eastern Asia,2015-2016 Zika Virus,200518.03902899998
1877,Global Affairs Canada,,,,2015-2016 Zika Virus,186422
1554,Spanish Agency for International Development Cooperation (AECID),,,,2015-2016 Zika Virus,109940
1055,Spain,euro,Europe,Southern Europe,2015-2016 Zika Virus,109940
1874,Canadian Red Cross,,,,2015-2016 Zika Virus,73833.95693849999
1887,Swedish Red Cross,,,,2015-2016 Zika Virus,60608.221245
1428,United Nations (UN),,,,2015-2016 Zika Virus,58416.92
1876,Finnish Red Cross,,,,2015-2016 Zika Virus,50646.005157
1881,Japanese Red Cross,,,,2015-2016 Zika Virus,44519.161005
1431,United Nations Development Programme (UNDP),,,,2015-2016 Zika Virus,35598
1886,S. C. Johnson & Son Inc.,,,,2015-2016 Zika Virus,28951.1669205
1432,United Nations Food and Agriculture Organization (FAO),,,,2015-2016 Zika Virus,22818.92
1885,Red Cross of Monaco,,,,2015-2016 Zika Virus,16740.1390035
1763,Practical Action,,,,2015-2016 Zika Virus,12044.119393364961
1078,United States of America,amro,Americas,Northern America,2018-2020 Ebola in DRC,211814085.73000002
1443,United States Agency for International Development (USAID),,,,2018-2020 Ebola in DRC,211314085.73000002
1467,World Bank,,,,2018-2020 Ebola in DRC,190360204
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2018-2020 Ebola in DRC,136851109
1075,United Kingdom,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,131082462.4032982
1472,World Health Organization (WHO),,,,2018-2020 Ebola in DRC,123407887
1428,United Nations (UN),,,,2018-2020 Ebola in DRC,112549829.91764864
1430,United Nations Children's Fund (UNICEF),,,,2018-2020 Ebola in DRC,75135296.91764864
1179,Department for International Development UK (DFID),,,,2018-2020 Ebola in DRC,50302798.825
1249,International Red Cross and Red Crescent Movement,,,,2018-2020 Ebola in DRC,47471851.953340895
1255,International Federation of Red Cross and Red Crescent Societies,,,,2018-2020 Ebola in DRC,45398989.81923686
1200,European Union,euro,,,2018-2020 Ebola in DRC,38226046.505672
869,Germany,euro,Europe,Western Europe,2018-2020 Ebola in DRC,30216538.691650737
1759,United Nations Central Emergency Response Fund (CERF),,,,2018-2020 Ebola in DRC,29675327
1696,Germany - Federal Foreign Office,,,,2018-2020 Ebola in DRC,19028144.885203782
1129,Bill & Melinda Gates Foundation,,,,2018-2020 Ebola in DRC,14758119
1197,European Commission Humanitarian Aid (ECHO),,,,2018-2020 Ebola in DRC,14629906.212000001
908,Canada,amro,Americas,Northern America,2018-2020 Ebola in DRC,10078260.080868088
1767,UN Pooled Funds,,,,2018-2020 Ebola in DRC,9608480
1333,Oxfam International,,,,2018-2020 Ebola in DRC,9498017.420582762
1765,Oxfam GB,,,,2018-2020 Ebola in DRC,9411445.084340785
1460,Wellcome Trust,,,,2018-2020 Ebola in DRC,8260200
1756,OCHA Country Based Pooled Funds,,,,2018-2020 Ebola in DRC,6833029.44
1429,United Nations Central Emergency Response Fund (UN CERF),,,,2018-2020 Ebola in DRC,6403845
1017,Norway,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,5306291.048
927,Denmark,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4430858.788601872
1059,Sweden,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4200000
913,China,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,4000000
969,Ireland,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,3725771.8422838473
1102,African Development Bank,,,,2018-2020 Ebola in DRC,2709232.8823184827
1501,"Denmark - Ministry of Foreign Affairs, Danida",,,,2018-2020 Ebola in DRC,2230858.788601872
1758,Netherlands Red Cross,,,,2018-2020 Ebola in DRC,1552136.9094111808
1060,Switzerland,euro,Europe,Western Europe,2018-2020 Ebola in DRC,1361619.7832664978
973,Japan,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1300000
1030,Republic of Korea,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1000000
1970,Interpeace,,,,2018-2020 Ebola in DRC,889141.9400000001
1342,Paul Allen Foundation,,,,2018-2020 Ebola in DRC,721726
971,Italy,euro,Europe,Southern Europe,2018-2020 Ebola in DRC,695745.4424
1431,United Nations Development Programme (UNDP),,,,2018-2020 Ebola in DRC,586268
989,Luxembourg,euro,Europe,Western Europe,2018-2020 Ebola in DRC,550000
1138,British Red Cross,,,,2018-2020 Ebola in DRC,520725.22469285387
1901,International Alert,,,,2018-2020 Ebola in DRC,513487.03050078935
1419,U.S. Centers for Disease Control and Prevention (CDC),,,,2018-2020 Ebola in DRC,500000
1422,UN Ebola Response Multi-Partner Trust Fund (MPTF),,,,2018-2020 Ebola in DRC,428000
1764,Christian Aid,,,,2018-2020 Ebola in DRC,405032.0868697002
1440,United Nations World Food Programme (WFP),,,,2018-2020 Ebola in DRC,279940
1261,International Rescue Committee,,,,2018-2020 Ebola in DRC,234236.69884214678
1142,CARE International,,,,2018-2020 Ebola in DRC,200000
1475,World Vision International,,,,2018-2020 Ebola in DRC,89894
1604,World Vision UK,,,,2018-2020 Ebola in DRC,89894
1334,Oxfam Novib,,,,2018-2020 Ebola in DRC,86572.33624197688
1262,International Rescue Committee UK,,,,2018-2020 Ebola in DRC,78964.99884214679
1762,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,,2018-2020 Ebola in DRC,41153
1771,The William and Flora Hewlett Foundation,,,,2018-2020 Ebola in DRC,40000
1146,Catholic Agency For Overseas Development (CAFOD),,,,2018-2020 Ebola in DRC,13599.825004761722
1896,European Commission - International Partnerships,,,,2018-2020 Ebola in DRC,11144.840996169512
1757,GlobalGiving.org,,,,2018-2020 Ebola in DRC,237
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2019-2022 COVID-19 Pandemic,7021186423.1900015
1120,Asian Development Bank,,,,2019-2022 COVID-19 Pandemic,5503329177.19
1078,United States of America,amro,Americas,Northern America,2019-2022 COVID-19 Pandemic,4558576997.829999
1443,United States Agency for International Development (USAID),,,,2019-2022 COVID-19 Pandemic,4449348632.379999
1467,World Bank,,,,2019-2022 COVID-19 Pandemic,4419207330.9
1525,International Development Association,,,,2019-2022 COVID-19 Pandemic,4349173085.859999
1200,European Union,euro,,,2019-2022 COVID-19 Pandemic,3151398508.6624904
869,Germany,euro,Europe,Western Europe,2019-2022 COVID-19 Pandemic,3060044735.216934
1102,African Development Bank,,,,2019-2022 COVID-19 Pandemic,2797185568.9757886
1199,European Commission,,,,2019-2022 COVID-19 Pandemic,1769901031
