"Recipient ID","Recipient name","Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)","Total disbursed for capacity (billion USD, nominal)"
1031,Republic of Moldova,246588869.71439794,Country,335002591.68266684,0.25
1195,Europe,237173574.7006055,Country,266545821.50125268,0.24
885,Azerbaijan,217367362.74777946,Country,228061895.45207003,0.22
881,Armenia,214484027.59000793,Country,228359452.3289665,0.21
1044,Serbia,197216186.7663539,Country,231370497.99819192,0.20
1068,Tunisia,195739017.19798234,Country,593799918.6381203,0.20
1051,Solomon Islands,188516513.392119,Country,248595254.3736268,0.19
1022,Panama,188236946.47727552,Country,206267769.1398882,0.19
1190,Eastern Asia,177900332.79226294,Country,406280612.5993978,0.18
1326,Oceania,177739595.5213057,Country,147342117.5399504,0.18
1024,Paraguay,173739347.5084839,Country,247614364.60673055,0.17
920,Cuba,172201843.91524422,Country,181603814.91375527,0.17
890,Belarus,171763319.1478748,Country,185776678.14128563,0.17
1218,General Global Benefit,147417600.34727314,Other,272606920.976557,0.15
943,Fiji,143221409.72575584,Country,152947954.09894997,0.14
967,Iran,142096422.81276307,Country,176566376.50858957,0.14
948,Gabon,140092154.4420986,Country,189526852.1473321,0.14
928,Djibouti,139888909.29956964,Country,157734672.23301518,0.14
